solitude_id,solitude_label,gerotranscendence_id,gerotranscendence_label,similarity,relationship,merged_topic,extracted_relations
3,Aloneness – Solitude,6,Solitude – Positive Solitude,0.7225117087364197,related,S3: Aloneness – Solitude → G6: Solitude – Positive Solitude,[]
3,Aloneness – Solitude,33,,0.6094804406166077,related,S3: Aloneness – Solitude → G33: ,[]
3,Aloneness – Solitude,76,Solitude – Superficial,0.7202438116073608,related,S3: Aloneness – Solitude → G76: Solitude – Superficial,[]
3,Aloneness – Solitude,92,Solitude – Predictors,0.7382868528366089,related,S3: Aloneness – Solitude → G92: Solitude – Predictors,[]
3,Aloneness – Solitude,123,Solitude – Solitude,0.699944257736206,related,S3: Aloneness – Solitude → G123: Solitude – Solitude,[]
3,Aloneness – Solitude,162,Solitude – Experienced Crisis,0.7038857340812683,related,S3: Aloneness – Solitude → G162: Solitude – Experienced Crisis,[]
3,Aloneness – Solitude,169,Crises – Solitude Individual Experienced,0.6414350271224976,related,S3: Aloneness – Solitude → G169: Crises – Solitude Individual Experienced,[]
5,Solitude – Definition,6,Solitude – Positive Solitude,0.7053734660148621,related,S5: Solitude – Definition → G6: Solitude – Positive Solitude,[]
5,Solitude – Definition,33,,0.6080383062362671,related,S5: Solitude – Definition → G33: ,[]
5,Solitude – Definition,52,Solitude – Seekers,0.6233907341957092,related,S5: Solitude – Definition → G52: Solitude – Seekers,[]
5,Solitude – Definition,92,Solitude – Predictors,0.6693220734596252,related,S5: Solitude – Definition → G92: Solitude – Predictors,[]
5,Solitude – Definition,123,Solitude – Solitude,0.6802220940589905,related,S5: Solitude – Definition → G123: Solitude – Solitude,[]
8,,15,,0.6991425156593323,related,S8:  → G15: ,[]
20,Solitude – Older Adults,33,,0.6086093783378601,related,S20: Solitude – Older Adults → G33: ,[]
20,Solitude – Older Adults,48,Solitude – Need Solitude,0.6330795884132385,related,S20: Solitude – Older Adults → G48: Solitude – Need Solitude,[]
20,Solitude – Older Adults,76,Solitude – Superficial,0.6297856569290161,related,S20: Solitude – Older Adults → G76: Solitude – Superficial,[]
20,Solitude – Older Adults,92,Solitude – Predictors,0.6519103646278381,related,S20: Solitude – Older Adults → G92: Solitude – Predictors,[]
20,Solitude – Older Adults,138,Aging – Overlooked,0.6192359924316406,related,S20: Solitude – Older Adults → G138: Aging – Overlooked,[]
20,Solitude – Older Adults,162,Solitude – Experienced Crisis,0.7647887468338013,strong_match,S20: Solitude – Older Adults → G162: Solitude – Experienced Crisis,[]
20,Solitude – Older Adults,169,Crises – Solitude Individual Experienced,0.6508091688156128,related,S20: Solitude – Older Adults → G169: Crises – Solitude Individual Experienced,[]
25,Solitude – Solitary Activities,6,Solitude – Positive Solitude,0.620306134223938,related,S25: Solitude – Solitary Activities → G6: Solitude – Positive Solitude,[]
25,Solitude – Solitary Activities,33,,0.6240684986114502,related,S25: Solitude – Solitary Activities → G33: ,[]
25,Solitude – Solitary Activities,76,Solitude – Superficial,0.6138927340507507,related,S25: Solitude – Solitary Activities → G76: Solitude – Superficial,[]
25,Solitude – Solitary Activities,92,Solitude – Predictors,0.6737560629844666,related,S25: Solitude – Solitary Activities → G92: Solitude – Predictors,[]
25,Solitude – Solitary Activities,123,Solitude – Solitude,0.637457013130188,related,S25: Solitude – Solitary Activities → G123: Solitude – Solitude,[]
25,Solitude – Solitary Activities,162,Solitude – Experienced Crisis,0.662616491317749,related,S25: Solitude – Solitary Activities → G162: Solitude – Experienced Crisis,[]
41,Loneliness – Lonely,33,,0.6219962239265442,related,S41: Loneliness – Lonely → G33: ,[]
45,Solitude – Peer Experiences,6,Solitude – Positive Solitude,0.6491355895996094,related,S45: Solitude – Peer Experiences → G6: Solitude – Positive Solitude,[]
45,Solitude – Peer Experiences,33,,0.6249513030052185,related,S45: Solitude – Peer Experiences → G33: ,[]
45,Solitude – Peer Experiences,76,Solitude – Superficial,0.6648843884468079,related,S45: Solitude – Peer Experiences → G76: Solitude – Superficial,[]
45,Solitude – Peer Experiences,92,Solitude – Predictors,0.6694249510765076,related,S45: Solitude – Peer Experiences → G92: Solitude – Predictors,[]
45,Solitude – Peer Experiences,123,Solitude – Solitude,0.6217826008796692,related,S45: Solitude – Peer Experiences → G123: Solitude – Solitude,[]
45,Solitude – Peer Experiences,162,Solitude – Experienced Crisis,0.7121111750602722,related,S45: Solitude – Peer Experiences → G162: Solitude – Experienced Crisis,[]
45,Solitude – Peer Experiences,169,Crises – Solitude Individual Experienced,0.6054683327674866,related,S45: Solitude – Peer Experiences → G169: Crises – Solitude Individual Experienced,[]
49,Solitude – Context Immigration,6,Solitude – Positive Solitude,0.6821193695068359,related,S49: Solitude – Context Immigration → G6: Solitude – Positive Solitude,[]
49,Solitude – Context Immigration,33,,0.622780978679657,related,S49: Solitude – Context Immigration → G33: ,[]
49,Solitude – Context Immigration,52,Solitude – Seekers,0.6461364030838013,related,S49: Solitude – Context Immigration → G52: Solitude – Seekers,[]
49,Solitude – Context Immigration,76,Solitude – Superficial,0.6362841129302979,related,S49: Solitude – Context Immigration → G76: Solitude – Superficial,[]
49,Solitude – Context Immigration,92,Solitude – Predictors,0.6533507704734802,related,S49: Solitude – Context Immigration → G92: Solitude – Predictors,[]
49,Solitude – Context Immigration,123,Solitude – Solitude,0.6087010502815247,related,S49: Solitude – Context Immigration → G123: Solitude – Solitude,[]
49,Solitude – Context Immigration,162,Solitude – Experienced Crisis,0.6364058256149292,related,S49: Solitude – Context Immigration → G162: Solitude – Experienced Crisis,[]
50,Solitude – Self‐Reflection,6,Solitude – Positive Solitude,0.60152268409729,related,S50: Solitude – Self‐Reflection → G6: Solitude – Positive Solitude,[]
50,Solitude – Self‐Reflection,76,Solitude – Superficial,0.6063005328178406,related,S50: Solitude – Self‐Reflection → G76: Solitude – Superficial,[]
50,Solitude – Self‐Reflection,92,Solitude – Predictors,0.6232936382293701,related,S50: Solitude – Self‐Reflection → G92: Solitude – Predictors,[]
56,Solitude – Mindfulness,6,Solitude – Positive Solitude,0.6582286357879639,related,S56: Solitude – Mindfulness → G6: Solitude – Positive Solitude,[]
56,Solitude – Mindfulness,33,,0.6285820603370667,related,S56: Solitude – Mindfulness → G33: ,[]
56,Solitude – Mindfulness,92,Solitude – Predictors,0.6674741506576538,related,S56: Solitude – Mindfulness → G92: Solitude – Predictors,[]
56,Solitude – Mindfulness,123,Solitude – Solitude,0.6729325652122498,related,S56: Solitude – Mindfulness → G123: Solitude – Solitude,[]
