Document,Topic,Topic_Label,Probability
"o you remember when you were ten years of age and what you, at that time, thought about those who were twenty years of age?",133,Gerotranscendence,0.9599099610234011
"This question has been forwarded to several audiences as a first thread in the theory of gerotranscendence. The answers have recurrently been laughter and declarations that the twenty-year-old seemed very old indeed. Some of us admit that at age ten we wished to never grow older. Age ten was thought to be the very best in life. So, at age ten, the message was this: If everything could just continue unchanged as it is now, life would be at its very best. What lies ahead is nothing to look forward to.",133,Gerotranscendence,1.0
"And then we grew older and turned twenty. What did we, at age twenty, think about ourselves as ten, and what about the prospect of turning fifty? The answers to these questions were new laughter and statements about seeing oneself as very childish and immature at age ten and that becoming twenty was a pleasure rather than a nuisance. At the same time, the prospect of becoming fifty was very negative. Being twenty was felt to be the essence of life, while the thought of becoming fifty was gruesome and seen as the end of the fun. So, at age twenty, the message was now this: If everything could just continue unchanged as it is now, life would be at its very best. What lies ahead is nothing to look forward to.",133,Gerotranscendence,1.0
"Sure enough, those of us who have reached age fifty often praise the maturity of that time. Becoming fifty was a pleasure rather than a nuisance, and we pitied the poor twenty-year-olds, running around like hysteric mice in a maze. “Thank God for not having to suffer that age any longer.” But, for sure, being eighty would be a real nuisance and a misery, including retirement shock, loss of friends, and loneliness. So, at age fifty, the message was still: If everything could just continue unchanged as it is now, life would be at its very best. What lies ahead is nothing to look forward to.",133,Gerotranscendence,0.8284413096048282
"So, it seems, many of us have a tendency to define the present time of life as the best one and as normative for how the rest of life should be. We can understand otherwise in retrospect, but have difficulty doing",136,Transcended,1.0
1,19,155,0.5692359704956269
"so in prospect. This is, in fact, a particular aspect of something more general—the centricity patterns. We talk about, for example, ethnocen- trism, and refer to a pattern where one’s own ethnic group is perceived as natural and best, while other groups are defined as strange and inferior. They become “others” in an “othering” process sometimes ending in xenophobia. In the same vein there are othering processes regarding culture, social class, age, gender, and many more. This is probably one of the reasons to why, when younger, we tend to project a series of nuisances and miseries on old age, in the same vein as the ten-year-old projects misfortune as a result of becoming twenty, and the twenty-year- old projects other nuisances and miseries as a result of becoming fifty.",23,Gerontological,0.27369788277013657
"Not surprisingly there are severe mismatches between the nuisances and miseries we tend to project onto old age and what those who have reached advanced age tell themselves. For example, the supposed “retire- ment shock” seems not to be the common pattern, but rather the exception for a tiny minority (Streib & Schneider 1971; Atchley, 1971, 1999, 1980; Parnes & Nestel, 1981; Palmore, Burchett, Fillenbaum, George, & Wall- man, 1985; Tornstam, 1973; Rehn, 1984; O¨ sterberg, 1982). Likewise, the assumed general loneliness among the elderly seems to be a minority problem rather than a general pattern. There are even empirical studies showing that the largest “minority” suffering from feelings of loneliness are people in the 20–29 age group, not older people (Tornstam, 1990). However, despite the fact that the empirical data contradicts our beliefs, we seem to continue projecting these miseries onto old age. Al- ready in 1985 Robinson, Coberly, and Paul made the observation that assumptions about retirement connected with stress and morbidity con-",137,Findings,1.0
tinue to flourish despite tons of contradicting empirical data. We social scientists seem so convinced of the correctness of our theories and hypoth- eses that we have a tendency to disregard the facts.,-1,Noise / Outlier,0.0
"What we most often do when reality, as seen in empirical studies, doesn’t match our theories is criticize the study in order to keep the theory. When we, for example, do not find that old people feel as lonely as our theories make us assume, we start asking questions about sampling procedures, ways of analysis, and underestimation—the sample was wrong, the analysis was made poorly, and people were reluctant to tell the truth about loneliness. That’s why the data doesn’t match the theory. In this way it is possible to leave the thesis of old-age loneliness intact.",137,Findings,1.0
"But, if we for once allow the thought that our projections on old age might be erroneous and the empirical data correct, we must question",21,Gerotranscendence,1.0
"the projections and the theory instead. This is exactly what the theory of gerotranscendence, the topic of this book, is about. The perpetual mis- match between theory and certain empirical data is one of the things that has led us to believe that we sometimes erroneously project midlife values, activity patterns, and expectations onto old age, and then define these values, patterns, and expectations as successful aging. Maybe our projec- tions are not only rooted in midlife, but also in Western culture and White middle-class hopes for “success” to continue into old age.",21,Gerotranscendence,1.0
"Sure enough, the concept “successful aging” entered the field of gerontology early and is still in popular use. When scratching the surface of the concept it comes to the fore that aging successfully most often is understood as continuing to be a Western-cultured, White, middle-aged, middle-class successful person, with the typical emphasis on activity, pro- ductivity, efficiency, individuality, independence, wealth, health, and so- ciability. Scholars, as well as ordinary men and women may unconsciously project this specific middle-age value and behavioral pattern on old age, expressed as normative theories or facts about aging. In the theory of gerotranscendence we are questioning all this. Instead of accepting the hidden assumption that good aging is the same as continuing the midlife pattern indefinitely, we suggest that growing into old age has its very own meaning and character. By doing so, we at the same time suggest that there is a continuous development into old age. This is in contrast to much of the thinking within gerontology, where continuity and stability rather than change and development are key concepts.",21,Gerotranscendence,1.0
"In order to find and describe the hidden or overlooked developmental character and meaning of old age, we are going to listen to what old people themselves say about this, rather than relying on the statements of young and middle-aged desk theoreticians. We will then be able to demonstrate that aging certainly can involve some overlooked develop- mental changes related to increased life satisfaction, as described by real, flesh and blood individuals. The gerotranscendent individual, as we shall see, typically experiences a redefinition of the self and of relationships to others and a new understanding of fundamental, existential questions. The individual becomes, for example, less self-occupied and at the same time more selective in the choice of social and other activities. There is an increased feeling of affinity with past generations and a decrease in interest in superfluous social interaction. The individual might also experi- ence a decrease in interest in material things and a greater need for solitary “meditation.” Positive solitude becomes more important. There is also",138,Aging,1.0
"often a feeling of cosmic communion with the spirit of the universe, and a redefinition of time, space, life, and death.",16,Rejoicing,1.0
"However, gerotranscendence does not imply any state of withdrawal or disengagement, as is sometimes erroneously believed. It is not the old disengagement theory in a new disguise, as believed by some critics (e.g., Biggs, Hendricks, & Lowenstein, 2003). It is a theory that describes a developmental pattern beyond the old dualism of activity and disen- gagement. This book will explore this developmental pattern.",120,Gerotranscendence,1.0
"At the same time as the book gives a detailed account of the theory of gerotranscendence, it also describes how the theory was developed from the unsatisfying mismatch of common theoretical assumptions within gerontology and some empirical findings. This does not mean, of course, that all the established theories within social gerontology are useless, just that there are certain developmental patterns that they don’t cover properly.",0,Gerontology,1.0
"The book starts out with a discussion of the unsatisfying state of the art and what generally is needed in order to bring theory and certain empirical findings into harmony. The theory of gerotranscendence is then developed as an answer to this plea, starting out as a tentative outline in chapter 2, and followed in chapter 3 by a qualitative specification based on firsthand, in-depth interviews with individuals of a mature age who themselves have experienced the individual development in life, which we have come to call gerotranscendence.",37,Gerotranscendence,0.8253422547513433
"In chapter 4 the gerotranscendence pattern is further elucidated by quantitative studies of various kinds. In chapter 5, the practical implica- tions of the theory are brought into focus. Here you will find how the theory has been translated into guidelines for work within care settings. Finally, in chapter 6, you will find a summary of the preceding information and a conclusion. The appendix contains some suggestions for how to facilitate personal development towards gerotranscendence. This book is partly based on and further develops what previously has been written on the subject in different forums (e.g., by Tornstam from 1989 to 2003).",-1,Noise / Outlier,0.0
"In order to make the book accessible for those who are not versed in research and technological matters, most of these technicalities have been placed in footnotes for those who need this information. If your interest is not academic, you can skip reading the footnotes and still acquire an understanding of the theory of gerotranscendence.",139,Gerotranscendence,1.0
It should be carefully noted that the theory of gerotranscendence is not formulated with the aim of nullifying other theories within social,8,Gerotranscendence,0.7247913638352794
"gerontology. We however suggest that sometimes the old, well-known theories are just not applicable. Knowing about the theory of gerotrans- cendence can then be like the coin that makes the slot machine work, or like the new pair of eyeglasses that make you see the world in a new way—a theoretical tool that makes certain parts of reality comprehensible. We do not pretend that the theory of gerotranscendence is better or “normative free” in comparison with other theories, but rather that it covers certain aspects of individual aging processes which previously have not been sufficiently covered by social gerontology theory. It might be for such reasons that individuals time and again report that the theory of gerotranscendence captures much of their personal experiences of aging. In letters, phone calls, e-mails, and oral declarations after lectures, such testimonies have been given by a considerable number of individuals, ranging from retired university professors, a former ambassador, and a couple of novelists, to very ordinary, retired, white-collar workers and other working folk. These spontaneous testimonies tell us that the theory corresponds to the experiences of aging that a number of individuals have actually had.",71,Gerotranscendence,0.8949005992611123
The Need for New Theories in Social Gerontology1,0,Gerontology,1.0
"ith this chapter, with its touch of critical gerontology, we hope to give the reader un understanding of why the idea of a new theory forced itself to the fore. Even if the chapter",0,Gerontology,0.9676903000689746
"aims at demonstrating some insufficiencies in the common theories of social gerontology, it is not the same as arguing that all other theories are inadequate, just that they have obvious blind spots. But, as a starting point, let’s listen to Eva, a former nurse whom we will learn to know better later on, who describes her changes in attitude towards life and herself in the following way:",0,Gerontology,1.0
"Using an analogy, earlier I used to feel that I was out on a river being carried away by the stream without being able to control it. Even if I wanted to go ashore, I couldn’t control it; I was carried away both from pleasant and unpleasant things. But today I feel like the river. I feel like I’m the river. I feel that I’m part of the flow that contains both the pleasant and the unpleasant things.",-1,Noise / Outlier,0.0
"She seems happy and satisfied with her life today and describes how she has come to change much of the understanding of herself and her life. She has discovered some self-infatuation with her younger self, at the same time as her sources of joy in life have changed:",112,Eva,1.0
"Well, earlier it may have been things like a visit to the theater, a dinner, a trip. I wanted certain things to happen that I was a little excited",89,Times,1.0
6,19,155,1.0
about  My best times [now are] when I sit on the kitchen porch and,89,Times,0.5256402000874146
"simply exist, the swallows flying above my head like arrows. Or a spring day like this when I can go to my nettle patch and pick nettles for soup.",149,Gerotranscendence,1.0
"Eva pointed out that she is not at all religious. Nevertheless, she has come to accept science and faith as equal:",-1,Noise / Outlier,0.0
Some people stick with a natural science theory and other people stick with a religious theory. One theory is just as good the other. Some things are unanswered.,14,Theory,1.0
"In relation to other people, Eva also has become a different person. Her need for positive solitude has increased, and she has become more restrictive in her choice of friends and company. She has abandoned the big circle of friends:",38,Eva,1.0
". . . I think it’s more fun to .  go to an older woman that I know, sit",9,Organize,1.0
and talk to her. I get much more out of this than going to parties and being with a lot of people where you really don’t talk so much with people.,9,Organize,1.0
How shall these changes be understood? Are they part of a negative withdrawal or a developing wisdom? Let’s have a look on what theories in social gerontology have to offer.,0,Gerontology,1.0
"The most useful practical tool for understanding is said to be a good theory. No surprise then that theoretical renewing is asked for repeatedly. In a description of the theoretical state of the art Bengtson, Burgess, and Parrot (1997) concluded that we still have some distance to go. More attention should be given to theory. At the very beginning of this new century this plea is still advocated as in, for example, a book with the title The Need for Theory—Critical Approaches to Social Gerontology (Biggs, Hendricks, & Lowenstein, 2003).",0,Gerontology,0.8943363202629089
"Theorizing within social gerontology has been organized regarding content and theoretical level as well as historical development (see, for example, Estes, Binney, & Culbertson, 1992; Bengtson, Parrott, & Bur- gess, 1996; Bengtson, Burgess, & Parrott, 1997), but this is not the place to account for this. It is sufficient to say that we are going to deal with theorizing on the micro to intermediate level, and with a developmental perspective focusing on the individual. It might also be mentioned that regarding the efforts to label and systematize theories, the theory of gerotranscendence has been placed in a box with the label “critical theory” (Bengtson, Burgess, & Parrott, 1997).",-1,Noise / Outlier,0.0
"When theories are the target of discussions, however, we sometimes refer to different entities. Some of us only count as theories such a set of propositions (axioms) from which invariance hypotheses can be derived and tested quantitatively. We are then referring to formalized theories. Other definitions of a theory focus on the fact that a theory always is a way of comprehending reality, not necessarily by means of any system of formal axioms and hypotheses, but rather as a shorthand for understanding or characterizing a phenomenon. In the latter case, the way of classifying and understanding reality is more important than the set of axioms and hypotheses used to formalize this understanding. Stevens Barnum (1990) is an example of those having a definition close to the latter position, while Galtung (1969) exemplifies a position closer to the former, formalized understanding of what a theory is.",0,Gerontology,1.0
"Our own opinion is that a theory first and above all has the mission to offer ways of understanding and comprehending reality. Forgetting this and focusing on the formal aspects only might lead to a fruitless and mechanical manipulation of details. So, when we take a look at some theorizing within social gerontology in what follows, it is with a focus on which ways of understanding reality the theories offer, not “if” or “how” these understandings are formalized.",0,Gerontology,1.0
"Among the many ways of understanding what aging is about on the individual level, more or less overlapping perspectives can be mentioned. The following list of some common approaches is introduced for the purpose only of illustrating that we see different things depending on which pair of theoretical glasses we use. For a fuller description of the different theoretical approaches you will have to consult a general textbook on theories in social gerontology.",71,Gerotranscendence,1.0
