solitude_id,solitude_label,gerotranscendence_id,gerotranscendence_label,similarity,relationship,merged_topic,extracted_relations
3,Aloneness,6,Solitude,0.6496952772140503,related,Aloneness → Solitude,"['was academic volume', 'was first volume', 'was volume', 'was first academic volume', 'are absolutely thrilled In', 'are thrilled In', 'present', 'are', 'call', 'is', 'is highly evident in', 'is evident in']"
3,Aloneness,76,Solitude,0.6833800077438354,related,Aloneness → Solitude,"['was academic volume', 'was first volume', 'was volume', 'was first academic volume', 'are absolutely thrilled In', 'are thrilled In', 'present', 'are', 'redefines importance According', 'redefines', 'becomes', 'is in', 'need for', 'decreased need for', 'noticed']"
3,Aloneness,92,Solitude,0.7270958423614502,related,Aloneness → Solitude,"['was academic volume', 'was first volume', 'was volume', 'was first academic volume', 'are absolutely thrilled In', 'are thrilled In', 'present', 'are', 'correlated In', 'correlated negatively In', 'correlated negatively with', 'correlated with']"
3,Aloneness,123,Solitude,0.6617251038551331,related,Aloneness → Solitude,"['was academic volume', 'was first volume', 'was volume', 'was first academic volume', 'are absolutely thrilled In', 'are thrilled In', 'present', 'are', 'need for', 'with satisfaction is', 'is with', 'also correlates with', 'correlates with', 'correlates negatively with', 'also correlates negatively with']"
3,Aloneness,162,Solitude,0.6309830546379089,related,Aloneness → Solitude,"['was academic volume', 'was first volume', 'was volume', 'was first academic volume', 'are absolutely thrilled In', 'are thrilled In', 'present', 'are', 'is shown for', 'is also shown for', 'is also shown In', 'is shown In', 'is', 'shows', 'need for', 'also shows', 'reduce']"
3,Aloneness,169,Crises,0.6373008489608765,related,Aloneness → Crises,"['was academic volume', 'was first volume', 'was volume', 'was first academic volume', 'are absolutely thrilled In', 'are thrilled In', 'present', 'are', 'seem In', 'seem', 'experienced']"
5,Solitude,6,Solitude,0.6332026124000549,related,Solitude → Solitude,"['been', 'been operationalized as', 'sometimes been operationalized as', 'call', 'is', 'is highly evident in', 'is evident in']"
5,Solitude,33,Loneliness,0.6334903836250305,related,Solitude → Loneliness,"['been', 'been operationalized as', 'sometimes been operationalized as', 'lacks', 'may', 'be further']"
5,Solitude,52,Solitude,0.607189416885376,related,Solitude → Solitude,"['been', 'been operationalized as', 'sometimes been operationalized as']"
5,Solitude,92,Solitude,0.6513990163803101,related,Solitude → Solitude,"['been', 'been operationalized as', 'sometimes been operationalized as', 'correlated In', 'correlated negatively In', 'correlated negatively with', 'correlated with']"
5,Solitude,123,Solitude,0.6545482277870178,related,Solitude → Solitude,"['been', 'been operationalized as', 'sometimes been operationalized as', 'need for', 'with satisfaction is', 'is with', 'also correlates with', 'correlates with', 'correlates negatively with', 'also correlates negatively with']"
8,Conclusion,15,Conclusions,0.7136984467506409,related,Conclusion → Conclusions,"['Concluding Remarks Conclusions Outcomes In', 'Concluding']"
20,Solitude,48,Solitude,0.6606155633926392,related,Solitude → Solitude,"['look into', 'is in', 'may', 'looks like', 'shows in', 'increases up to', 'remains', 'remains after']"
20,Solitude,52,Solitude,0.6029582023620605,related,Solitude → Solitude,"['look into', 'is in', 'may']"
20,Solitude,76,Solitude,0.6065335869789124,related,Solitude → Solitude,"['look into', 'is in', 'may', 'redefines importance According', 'redefines', 'becomes', 'need for', 'decreased need for', 'noticed']"
20,Solitude,92,Solitude,0.6517510414123535,related,Solitude → Solitude,"['look into', 'is in', 'may', 'correlated In', 'correlated negatively In', 'correlated negatively with', 'correlated with']"
20,Solitude,138,Aging,0.6074417233467102,related,Solitude → Aging,"['look into', 'is in', 'may', 'typically experiences', 'experiences', 'becomes for', 'becomes']"
20,Solitude,162,Solitude,0.7252920269966125,related,Solitude → Solitude,"['look into', 'is in', 'may', 'is shown for', 'is also shown for', 'is also shown In', 'is shown In', 'is', 'shows', 'need for', 'also shows', 'reduce']"
20,Solitude,169,Crises,0.6784888505935669,related,Solitude → Crises,"['look into', 'is in', 'may', 'seem In', 'seem', 'experienced']"
25,Solitude,92,Solitude,0.6432660818099976,related,Solitude → Solitude,"['can have', 'can have costs from', 'be', 'appear', 'correlated In', 'correlated negatively In', 'correlated negatively with', 'correlated with']"
25,Solitude,162,Solitude,0.6234449744224548,related,Solitude → Solitude,"['can have', 'can have costs from', 'be', 'appear', 'is shown for', 'is also shown for', 'is also shown In', 'is shown In', 'is', 'shows', 'need for', 'also shows', 'reduce']"
41,Loneliness,33,Loneliness,0.6825381517410278,related,Loneliness → Loneliness,"['is', 'is in', 'in', 'feel', 'is with', 'lacks', 'may', 'be further']"
45,Solitude,6,Solitude,0.6158439517021179,related,Solitude → Solitude,"['presents', 'is in', 'have', 'is with', '’s', 'call', 'is', 'is highly evident in', 'is evident in']"
45,Solitude,33,Loneliness,0.6002939343452454,related,Solitude → Loneliness,"['presents', 'is in', 'have', 'is with', '’s', 'lacks', 'may', 'be further']"
45,Solitude,76,Solitude,0.638637363910675,related,Solitude → Solitude,"['presents', 'is in', 'have', 'is with', '’s', 'redefines importance According', 'redefines', 'becomes', 'need for', 'decreased need for', 'noticed']"
45,Solitude,92,Solitude,0.6848217248916626,related,Solitude → Solitude,"['presents', 'is in', 'have', 'is with', '’s', 'correlated In', 'correlated negatively In', 'correlated negatively with', 'correlated with']"
45,Solitude,162,Solitude,0.6569900512695312,related,Solitude → Solitude,"['presents', 'is in', 'have', 'is with', '’s', 'is shown for', 'is also shown for', 'is also shown In', 'is shown In', 'is', 'shows', 'need for', 'also shows', 'reduce']"
45,Solitude,169,Crises,0.6087923049926758,related,Solitude → Crises,"['presents', 'is in', 'have', 'is with', '’s', 'seem In', 'seem', 'experienced']"
49,Solitude,6,Solitude,0.6535239219665527,related,Solitude → Solitude,"['is', 'often involves experiences For', 'involves experiences For', 'call', 'is highly evident in', 'is evident in']"
49,Solitude,33,Loneliness,0.6450400948524475,related,Solitude → Loneliness,"['is', 'often involves experiences For', 'involves experiences For', 'lacks', 'may', 'be further']"
49,Solitude,52,Solitude,0.6198858022689819,related,Solitude → Solitude,"['is', 'often involves experiences For', 'involves experiences For']"
49,Solitude,76,Solitude,0.6048021912574768,related,Solitude → Solitude,"['is', 'often involves experiences For', 'involves experiences For', 'redefines importance According', 'redefines', 'becomes', 'is in', 'need for', 'decreased need for', 'noticed']"
49,Solitude,92,Solitude,0.6311929225921631,related,Solitude → Solitude,"['is', 'often involves experiences For', 'involves experiences For', 'correlated In', 'correlated negatively In', 'correlated negatively with', 'correlated with']"
49,Solitude,162,Solitude,0.6190698742866516,related,Solitude → Solitude,"['is', 'often involves experiences For', 'involves experiences For', 'is shown for', 'is also shown for', 'is also shown In', 'is shown In', 'shows', 'need for', 'also shows', 'reduce']"
49,Solitude,169,Crises,0.6099135875701904,related,Solitude → Crises,"['is', 'often involves experiences For', 'involves experiences For', 'seem In', 'seem', 'experienced']"
50,Solitude,6,Solitude,0.6044968962669373,related,Solitude → Solitude,"['call', 'is', 'is highly evident in', 'is evident in']"
50,Solitude,76,Solitude,0.622758150100708,related,Solitude → Solitude,"['redefines importance According', 'redefines', 'becomes', 'is in', 'need for', 'decreased need for', 'noticed']"
50,Solitude,92,Solitude,0.6548681855201721,related,Solitude → Solitude,"['correlated In', 'correlated negatively In', 'correlated negatively with', 'correlated with']"
52,Conclusions,15,Conclusions,0.6827237010002136,related,Conclusions → Conclusions,[]
56,Solitude,92,Solitude,0.6434558033943176,related,Solitude → Solitude,"['correlated In', 'correlated negatively In', 'correlated negatively with', 'correlated with']"
56,Solitude,123,Solitude,0.6190990209579468,related,Solitude → Solitude,"['need for', 'with satisfaction is', 'is with', 'also correlates with', 'correlates with', 'correlates negatively with', 'also correlates negatively with']"
67,Solitude,6,Solitude,0.6524800658226013,related,Solitude → Solitude,"['be', 'has', 'literally be traced back to', 'be traced back to', 'be traced to', 'literally be traced to', 'now acknowledge', 'acknowledge', 'call', 'is', 'is highly evident in', 'is evident in']"
67,Solitude,33,Loneliness,0.6097983717918396,related,Solitude → Loneliness,"['be', 'has', 'literally be traced back to', 'be traced back to', 'be traced to', 'literally be traced to', 'now acknowledge', 'acknowledge', 'lacks', 'may', 'be further']"
67,Solitude,76,Solitude,0.6293137073516846,related,Solitude → Solitude,"['be', 'has', 'literally be traced back to', 'be traced back to', 'be traced to', 'literally be traced to', 'now acknowledge', 'acknowledge', 'redefines importance According', 'redefines', 'becomes', 'is in', 'need for', 'decreased need for', 'noticed']"
67,Solitude,92,Solitude,0.6512290835380554,related,Solitude → Solitude,"['be', 'has', 'literally be traced back to', 'be traced back to', 'be traced to', 'literally be traced to', 'now acknowledge', 'acknowledge', 'correlated In', 'correlated negatively In', 'correlated negatively with', 'correlated with']"
67,Solitude,123,Solitude,0.6680811643600464,related,Solitude → Solitude,"['be', 'has', 'literally be traced back to', 'be traced back to', 'be traced to', 'literally be traced to', 'now acknowledge', 'acknowledge', 'need for', 'with satisfaction is', 'is with', 'also correlates with', 'correlates with', 'correlates negatively with', 'also correlates negatively with']"
67,Solitude,162,Solitude,0.6074124574661255,related,Solitude → Solitude,"['be', 'has', 'literally be traced back to', 'be traced back to', 'be traced to', 'literally be traced to', 'now acknowledge', 'acknowledge', 'is shown for', 'is also shown for', 'is also shown In', 'is shown In', 'is', 'shows', 'need for', 'also shows', 'reduce']"
72,Aloneness,92,Solitude,0.6071028113365173,related,Aloneness → Solitude,"['have examined personality correlates toward', 'have examined', 'is', 'distinguish between', 'correlated In', 'correlated negatively In', 'correlated negatively with', 'correlated with']"
86,Aloneness,6,Solitude,0.639138400554657,related,Aloneness → Solitude,"['are', 'call', 'is', 'is highly evident in', 'is evident in']"
