parent_id,parent_label,child_id,child_label
1,Vaccines – Immune,15,Influenza – Vaccines
1,Vaccines – Immune,19,Vaccines – Protection
1,Vaccines – Immune,37,Rubella
5,Vaccines – Conjugate,10,Immunization
5,Vaccines – Conjugate,13,Vaccine – T13
5,Vaccines – Conjugate,15,Influenza – Vaccines
5,Vaccines – Conjugate,21,Influenza – Vaccines – T21
5,Vaccines – Conjugate,25,Vaccine – Influenza
5,Vaccines – Conjugate,26,Vaccines – Antibodies
5,Vaccines – Conjugate,27,Microneedle
5,Vaccines – Conjugate,29,Influenza – Vaccination
5,Vaccines – Conjugate,35,Vaccines – Arthritis
5,Vaccines – Conjugate,36,Vaccines – Tuberculosis
5,Vaccines – Conjugate,39,Vaccine – Hpv – T39
11,Vaccine – Immune – T11,9,Vaccine – Immune
11,Vaccine – Immune – T11,14,Vaccines – Antigens – T14
23,Vaccines – Vaccinology,28,Vaccine – Antibodies
23,Vaccines – Vaccinology,31,Smallpox
24,Vaccines – Fever,5,Vaccines – Conjugate
27,Microneedle,23,Vaccines – Vaccinology
27,Microneedle,24,Vaccines – Fever
30,Vaccines – Immunization – T30,0,Pertussis
30,Vaccines – Immunization – T30,1,Vaccines – Immune
30,Vaccines – Immunization – T30,2,Vaccines – Immunization
30,Vaccines – Immunization – T30,4,Vaccines – Immunology
30,Vaccines – Immunization – T30,5,Vaccines – Conjugate
30,Vaccines – Immunization – T30,6,Vaccine – Influenzae
30,Vaccines – Immunization – T30,7,Vaccine – Pneumococcal
30,Vaccines – Immunization – T30,8,Vaccines – Antigens
30,Vaccines – Immunization – T30,11,Vaccine – Immune – T11
30,Vaccines – Immunization – T30,19,Vaccines – Protection
30,Vaccines – Immunization – T30,20,Vaccination
30,Vaccines – Immunization – T30,22,Vaccine – Immunization
30,Vaccines – Immunization – T30,26,Vaccines – Antibodies
30,Vaccines – Immunization – T30,33,Vaccines – Lymph
31,Smallpox,3,Peptides
31,Smallpox,12,Vaccines – Hpv
31,Smallpox,14,Vaccines – Antigens – T14
31,Smallpox,16,Vaccine – Vaccination
31,Smallpox,18,Vaccine – Vaccination – T18
31,Smallpox,20,Vaccination
31,Smallpox,27,Microneedle
31,Smallpox,30,Vaccines – Immunization – T30
31,Smallpox,33,Vaccines – Lymph
31,Smallpox,40,Theiler
31,Smallpox,41,Vaccination – Vaccinology
32,Immunity,23,Vaccines – Vaccinology
32,Immunity,30,Vaccines – Immunization – T30
32,Immunity,44,Vaccines – Polio
37,Rubella,0,Pertussis
37,Rubella,45,Vaccine – Sa14
38,Vaccine – Polio,1,Vaccines – Immune
38,Vaccine – Polio,2,Vaccines – Immunization
38,Vaccine – Polio,4,Vaccines – Immunology
38,Vaccine – Polio,6,Vaccine – Influenzae
38,Vaccine – Polio,7,Vaccine – Pneumococcal
38,Vaccine – Polio,8,Vaccines – Antigens
38,Vaccine – Polio,9,Vaccine – Immune
38,Vaccine – Polio,11,Vaccine – Immune – T11
38,Vaccine – Polio,12,Vaccines – Hpv
38,Vaccine – Polio,13,Vaccine – T13
38,Vaccine – Polio,16,Vaccine – Vaccination
38,Vaccine – Polio,17,Vaccine – Immunogenic
38,Vaccine – Polio,18,Vaccine – Vaccination – T18
38,Vaccine – Polio,24,Vaccines – Fever
38,Vaccine – Polio,25,Vaccine – Influenza
38,Vaccine – Polio,28,Vaccine – Antibodies
38,Vaccine – Polio,29,Influenza – Vaccination
38,Vaccine – Polio,31,Smallpox
38,Vaccine – Polio,34,Gococcal
38,Vaccine – Polio,42,Vaccination – Injections
38,Vaccine – Polio,46,Vaccine – Genome
41,Vaccination – Vaccinology,22,Vaccine – Immunization
41,Vaccination – Vaccinology,43,Vaccines – Vaccination
48,Vaccines – Pneumococcal,32,Immunity
48,Vaccines – Pneumococcal,38,Vaccine – Polio
