Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
44,vaccine_vaccines_protection_correlates_vaccination,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",41,vaccines_pertussis_vaccine_antibody_immunity,43,vaccine_immune_efficacy_hiv-1_trial,1.0823161566503552
43,vaccine_immune_efficacy_hiv-1_trial,"[1, 4, 5, 8, 9, 12, 14, 15, 17, 18, 21]",42,immune_hiv-1_correlates_trials_vaccine,23,cytomegalovirus_conjugate_conjugate vaccine_controlled_randomised,1.079284305257475
42,immune_hiv-1_correlates_trials_vaccine,"[1, 4, 5, 8, 9, 12, 17, 18, 21]",37,trials_zoster_herpes zoster_herpes_vaccine trials,40,hiv-1_immune correlates_correlates_correlates protection_induced,1.0583338449907436
41,vaccines_pertussis_vaccine_antibody_immunity,"[0, 2, 3, 6, 7, 10, 11, 13, 16, 19, 20, 22]",35,chlamydia_t_levels_trachomatis_chlamydia trachomatis,39,pertussis_vaccines_inactivated_antibody_dose,1.0310383609987184
40,hiv-1_immune correlates_correlates_correlates protection_induced,"[1, 4, 8, 9]",25,correlates protection_protection vaccination_protection_protection induced_correlates,24,hiv-1_vaccine efficacy_efficacy trial_hiv-1 infection_trial,1.020860833217715
39,pertussis_vaccines_inactivated_antibody_dose,"[2, 3, 6, 11, 13, 16, 20, 22]",38,pertussis_inactivated_dose_respiratory_acellular,36,rubella_rubella vaccines_diseases_rev vaccines_diseases vaccine,1.0164954190338975
38,pertussis_inactivated_dose_respiratory_acellular,"[2, 6, 11, 13, 16]",30,pertussis_acellular_pertussis vaccine_dose_pertussis vaccines,33,rotavirus_influenza_attenuated_rate_inactivated influenza,1.0030605928332461
37,trials_zoster_herpes zoster_herpes_vaccine trials,"[5, 12, 17, 18, 21]",32,trials_vaccine trials_surrogate_development_vaccine development,26,zoster_herpes zoster_herpes_zoster vaccine_ve,0.9997864927112972
36,rubella_rubella vaccines_diseases_rev vaccines_diseases vaccine,"[3, 20, 22]",22,systems_biology_fever vaccine_systems biology_yellow fever,34,rubella vaccines_rubella_diseases vaccine_infectious diseases_infectious,0.9982476767866377
35,chlamydia_t_levels_trachomatis_chlamydia trachomatis,"[0, 7, 10, 19]",31,chlamydia_trachomatis_chlamydia trachomatis_protective immunity_t cells,28,levels_rts_malaria_antibodies_t cell,0.9909139630330617
34,rubella vaccines_rubella_diseases vaccine_infectious diseases_infectious,"[3, 20]",20,rubella_rubella vaccines_neutralization_definitely_immunologic properties,3,vaccine rev_diseases vaccine_infectious diseases_major infectious_vaccination major,0.9885043205585582
33,rotavirus_influenza_attenuated_rate_inactivated influenza,"[11, 13, 16]",27,influenza_rate_inactivated influenza_nasal_respiratory,16,rotavirus_rit attenuated_rit_attenuated bovine_monovalent inactivated,0.9873315846110268
32,trials_vaccine trials_surrogate_development_vaccine development,"[5, 17, 21]",17,permits_measurement_cop_assessing_vaccine critical,29,surrogate_trials_vaccine trials_vaccine development_development,0.9694685715723488
31,chlamydia_trachomatis_chlamydia trachomatis_protective immunity_t cells,"[10, 19]",10,cholera_year_obstacles clemens_clemens trial_protective vaccination,19,chlamydia_chlamydia trachomatis_trachomatis_tularemia_tularemia cd8,0.9606604755234086
30,pertussis_acellular_pertussis vaccine_dose_pertussis vaccines,"[2, 6]",2,pertussis_pertussis vaccine_acellular_pertussis vaccines_bordetella,6,dose_live vaccine_%_recipients infected_killed vaccine,0.9593452263872003
29,surrogate_trials_vaccine trials_vaccine development_development,"[5, 21]",21,development_efficacy trials_vaccine development_trials_biomarkers,5,surrogate_application_gilbert_endpoint_application vaccine,0.9466263377211448
28,levels_rts_malaria_antibodies_t cell,"[0, 7]",0,rts_malaria_malaria vaccine_t cell_cell responses,7,levels_higher_high levels_antibodies_times,0.9364470788830936
27,influenza_rate_inactivated influenza_nasal_respiratory,"[11, 13]",11,respiratory_syncytial_respiratory syncytial_nasal_mucosal,13,inactivated influenza_rate_influenza_attenuated inactivated_influenza vaccine,0.9299775293733827
26,zoster_herpes zoster_herpes_zoster vaccine_ve,"[12, 18]",18,ve_pathogen_biomarker_vaccinees_defined,12,zoster_herpes_herpes zoster_zoster vaccine_excellent,0.9252286799808133
25,correlates protection_protection vaccination_protection_protection induced_correlates,"[1, 8]",1,protection vaccination_correlates protection_mechanism_induced vaccination_protection,8,influenza_immune correlates_attenuated cold_intranasal immunological_assessment influenza,0.9120638804451217
24,hiv-1_vaccine efficacy_efficacy trial_hiv-1 infection_trial,"[4, 9]",4,efficacy trial_trial_hiv-1_vaccine efficacy_vaccine trial,9,hiv-1_hiv-1 infection_risk_vaccine induced_declines,0.9026611150847943
23,cytomegalovirus_conjugate_conjugate vaccine_controlled_randomised,"[14, 15]",15,conjugate vaccine_conjugate_pneumococcal_pneumococcal conjugate_controlled trial,14,cytomegalovirus_challenge_study involved_vaccine low_maternal cytomegalovirus,0.8925545379231863
