Document,Topic,Auto_Label,Descriptive_Label,Probability
Vaccine Additives and Manufacturing Residuals in Vaccines Licensed in the United States,2,Vaccine,Vaccine – Immunogens,1.0
"In addition to one or more immunogens,* a vaccine may contain any of several added substances such as an adjuvant or a preservative. Residual components from the manufactur- ing process, in varying amounts, are also present in the vaccine. This chapter addresses the types and amounts of additives that are present in vaccines, the rationale for their inclusion, and the applicable federal regulations. Additionally, residual mate- rials from the manufacturing process that are present in the final formulation of the vaccine, as well as relevant federal regulations regarding these residuals, are discussed.",2,Vaccine,Vaccine – Immunogens,0.9650131657502548
"This chapter focuses on vaccines licensed in the United States; vaccines licensed outside the United States may contain the same types of additives and residuals, although the amounts that are present in any given vaccine may differ. In addition to addi- tives, vaccines contain residuals that remain from the licensed manufacturing process. The final formulation—immunogen plus additives and residuals—defines the specific vaccine; although not all manufacturing residuals can be identified and quantified, their presence and quantity is assumed to be con- stant because of the constancy of the manufacturing process.",2,Vaccine,Vaccine – Immunogens,0.8463851341749309
Vaccine manufacturing includes in-process and release,-1,Noise / Outlier,Noise / Outlier,0.0
"tests, along with their respective specifications, for the allow- able quantity of additives and certain residuals that may be present in the vaccine. These tests and their accompanying specifications are detailed in the product’s Biologic License Application (BLA); some of the specifications may be provided in the vaccine’s package insert. FDA biologics regulations, found in 21 CFR §610.61, address whether the use of, and quantity of, additives and residuals must be disclosed in vaccine labeling.",8,Penicillin,Penicillin,1.0
VACCINE ADDITIVES,-1,Noise / Outlier,Noise / Outlier,0.0
"Preservatives are added to vaccine formulations to prevent the growth of bacteria or fungi that may inadvertently be intro- duced into the vaccine during use. The Code of Federal Regu- lations (CFR) requires that, with certain defined exceptions, or with the approval of the Center Director (discussed later), preservatives must be added to multidose vials of vaccines. In the past, tragic consequences followed the use of multidose vials that did not contain a preservative, and served, in part, as the impetus for this requirement (see Wilson1 for a discus- sion of incidents related to the lack of preservatives in vaccines). Specifically, 21 CFR §610.15(a) states; “Products in multiple-dose containers shall contain a preservative, except that a preservative need not be added to Yellow Fever Vaccine; Polio-virus Vaccine Live Oral; viral vaccines labeled for use with the jet injector; dried vaccines when the accompanying diluent contains a preservative; or to an Allergenic Product in 50 percent or more volume in volume (v/v) glycerin.”",3,Vaccine,Vaccine – Preservatives,0.7756832013681247
"The definition (i.e., antimicrobial effectiveness) that has been used by the FDA for vaccines and other biologicals is found in the U.S. Pharmacopoeia (USP).2 This is a func- tional definition, wherein the final formulation of the vaccine, including the preservative, is challenged with specified quanti- ties of the following organisms: Candida albicans, Aspergillus brasiliensis, Escherichia coli, Staphylococcus aureus, and Pseudo- monas aeruginosa. The test sample (preservative-containing vaccine plus the microorganism) is incubated at 20° to 25°C,",3,Vaccine,Vaccine – Preservatives,0.7160201276241221
"Note that the antimicrobial agent is not tested by itself; rather, it is the final vaccine formulation that is tested.",8,Penicillin,Penicillin,0.7205138161878727
"Preservatives cannot completely eliminate the risk of bacte- rial or fungal contamination of vaccines; moreover, they do not address any potential viral contamination. Although it occurs rarely, and not in the recent past, the scientific litera- ture does contain reports3,4 (see also Wilson1) of bacterial contamination of vaccines despite the presence of a preserva- tive, emphasizing the need for meticulous attention to tech- nique when withdrawing vaccines from multiuse vials. At present, the following preservatives are used in U.S.-licensed vaccines: phenol, benzethonium chloride plus formaldehyde, 2-phenoxyethanol, and thimerosal (termed thiomersal in some other countries).",3,Vaccine,Vaccine – Preservatives,1.0
"For example, it has been known for a number of years that thimerosal has a deleterious effect on the potency of inactivated poliovirus vaccine (IPV).6,7 An alterna- tive preservative is necessary for IPV. A preservative that is used in other products, 2-phenoxyethanol,8 has been found to be compatible with IPV vaccine formulations; it is used as a pre- servative in both of the currently U.S.-licensed IPV vaccines (IPOL [Sanofi Pasteur SA] and Poliovax",3,Vaccine,Vaccine – Preservatives,1.0
"Phenol is currently used in three U.S.-licensed vaccines: the polysaccharide vaccines Pneumovax 23 (a 23-valent pneumo- coccal polysaccharide vaccine manufactured by Merck Sharp & Dohme Corp.) and Typhim Vi (Salmonella typhi capsular polysaccharide vaccine manufactured by Sanofi Pasteur SA), and ACAM2000 (the smallpox vaccine from Sanofi Pasteur Biologics Co.); each of these vaccines contains 0.25% phenol as a preservative (phenol is contained in the diluent for",3,Vaccine,Vaccine – Preservatives,1.0
"”12 Benzethonium chloride with formaldehyde is cur- rently used in only one U.S.-licensed vaccine, anthrax vaccine adsorbed (BioThrax; the preservative is 25 µg/mL benzetho- nium chloride and 100 µg/mL formaldehyde), manufactured by Emergent BioDefense Operations Lansing LLC.",6,Formaldehyde,Formaldehyde,0.31871841284039054
"In recent years, considerable controversy has surrounded the use of thimerosal, an organomercurial, in vaccines. Although there were no clear or definitive data to support a link between thimerosal and neurodevelopmental disorders, the U.S. Public Health Service (PHS), first in July 199914 and again in June 2000,15 in an effort to reduce mercury exposure in children from all sources, recommended that thimerosal be removed from pediatric vaccines as expeditiously as possible. Letters from CBER of the FDA, in 199916 and again in 2000,17 to the various vaccine manufacturers noted that the removal of thimerosal from vaccines was merited and requested manufacturers’ time- lines for thimerosal removal or submission of an explanation as to why thimerosal removal was not currently feasible.",0,Vaccine,Vaccine – Organomercurial,1.0
"Safety Review Committee of the National Academy of Sci- ence’s IOM issued its final report, examining the hypothesis that, inter alia, thimerosal-containing vaccines are causally associated with autism. The committee concluded that the body of evidence favors rejection of a causal relationship between thimerosal-containing vaccines and autism, and that the hypotheses that were generated concerning a biological mechanism for such causality were theoretical only.18 The European Medicines Agency also noted, as a precautionary measure, “that, although there is no evidence of harm caused by the level of exposure from vaccines, it would be prudent to promote the general use of vaccines without thiomersal and other mercury-containing preservatives. Of note, the WHO continues to recommend the use of vaccines containing thimerosal because the need for multidose preservative- containing vaccines and, thus, the benefit of using such vac- cines outweighs the theoretical risk of toxicity.20 Additionally, the Global Advisory Committee on Vaccine Safety has stated that it remains of the view that there is no evidence supporting a causal association between neurobehavioral disorders and thimerosal-containing vaccines.21 A more comprehensive update on the thimerosal-autism hypothesis for vaccines may be found in Chapter 82.",0,Vaccine,Vaccine – Organomercurial,0.6569123589289567
"vaccine, all of the U.S.-licensed, routinely recommended pedi- atric vaccines (hepatitis B, diphtheria–tetanus toxoid–acellular pertussis [DTaP], Haemophilus influenzae type b, IPV, pneu- mococcal conjugate, human papillomavirus [HPV], hepatitis A, rotavirus, measles-mumps-rubella",-1,Noise / Outlier,Noise / Outlier,0.0
"*At the time of the writing of these requirements for diphtheria and tetanus toxoids, U.S. vaccine regulation was the responsibility of the NIH.",9,Pertussis,Pertussis,1.0
"Of the U.S.-licensed trivalent injectable influenza vaccines, six are approved for pediatric use: Fluzone (Sanofi Pasteur Inc.), for use in infants 6 months of age and older; Fluvirin (Seqirus Vaccines, Ltd.), for use in children 4 years of age and older; Afluria (Seqirus Pty Ltd.), for use in children 5 years of age and older; Fluarix (GlaxoSmithKline Biologicals), for use in children 3 years of age and older; Flu- Laval (ID Biomedical Corporation of Quebec), for use in chil- dren 3 years of age and older; and Flucelvax (Seqirus, Inc.), for use in children 4 years of age and older. These six inactivated influenza vaccines are available in either thimerosal-free pre- sentations (Fluzone, Fluarix, Afluria, FluLaval, and Flucelvax) or with trace thimerosal (≤1 µg of mercury per 0.5 mL dose) (Fluvirin). Additionally, there are four U.S.-licensed quadri- valent inactivated influenza vaccines (FluLaval Quadrivalent, Fluzone Quadrivalent, Fluarix Quadrivalent, and Flucelvax Quadrivalent) available for children; the age indications are",4,Vaccines,Vaccines – Influenza,0.5020398769499204
"as above for the trivalent presentations and single-dose pre- sentations of these vaccines contain no thimerosal. FluMist Quadrivalent (MedImmune, LLC) is a live, attenuated quad- rivalent influenza vaccine and does not contain thimerosal.",0,Vaccine,Vaccine – Organomercurial,0.7356575962877876
