Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
180,vaccine_vaccines_virus_live_vaccination,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90]",177,vaccine_live_attenuated_virus_influenza,179,anthrax_pasteur_vaccine_disease_meningococcal,1.1828932122004365
179,anthrax_pasteur_vaccine_disease_meningococcal,"[0, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 18, 19, 26, 27, 28, 29, 30, 31, 32, 33, 34, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 52, 54, 56, 57, 59, 60, 61, 62, 63, 64, 65, 66, 68, 70, 71, 77, 78, 79, 80, 81, 82, 83, 84, 85, 88, 89, 90]",175,anthrax_pasteur_history_cowpox_vaccine,178,meningococcal_lyme_pneumococcal_conjugate_lyme disease,1.1471124009980413
178,meningococcal_lyme_pneumococcal_conjugate_lyme disease,"[18, 26, 27, 28, 49, 63, 65, 70, 88, 90]",114,lyme_lyme disease_disease vaccine_outer surface_ospa,163,meningococcal_pneumococcal_conjugate_group_meningococcal conjugate,1.1321190305835735
177,vaccine_live_attenuated_virus_influenza,"[1, 2, 3, 8, 13, 17, 20, 21, 22, 23, 24, 25, 35, 36, 37, 38, 42, 50, 51, 53, 55, 58, 67, 69, 72, 73, 74, 75, 76, 86, 87]",176,vaccine_live_virus_influenza_rabies,91,varicella_varicella vaccine_attenuated varicella_impact_impact varicella,1.1292194409661729
176,vaccine_live_virus_influenza_rabies,"[1, 2, 3, 8, 13, 17, 20, 21, 22, 23, 24, 25, 36, 37, 38, 42, 50, 53, 55, 58, 67, 69, 72, 73, 74, 75, 76, 86, 87]",174,influenza_rotavirus_live_typhoid_oral,171,rabies_polio_rubella_encephalitis_virus,1.119799604352244
175,anthrax_pasteur_history_cowpox_vaccine,"[0, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 19, 29, 30, 31, 32, 33, 34, 39, 40, 41, 43, 44, 45, 46, 47, 48, 52, 54, 56, 57, 59, 60, 61, 62, 64, 66, 68, 71, 77, 78, 79, 80, 81, 82, 83, 84, 85, 89]",167,anthrax_pasteur_tuberculose_plague_r,173,history_cowpox_press_references_figure,1.111900377425769
174,influenza_rotavirus_live_typhoid_oral,"[2, 13, 21, 22, 23, 24, 25, 36, 50, 53, 55, 86, 87]",169,influenza_rotavirus_live_influenza vaccine_cold,125,typhoid_typhoid vaccines_field trial_field_ty21a,1.1054951992168354
173,history_cowpox_press_references_figure,"[0, 4, 6, 7, 10, 11, 14, 16, 29, 31, 33, 34, 40, 43, 45, 46, 47, 48, 52, 54, 56, 57, 59, 60, 61, 62, 64, 66, 68, 71, 77, 78, 79, 80, 81, 82, 84, 89]",134,cowpox_smallpox_variolation_jenner_negri,172,"history_press_references_figure_responses.325,326 proc",1.100247483520155
172,"history_press_references_figure_responses.325,326 proc","[4, 6, 7, 10, 11, 14, 16, 29, 31, 33, 34, 40, 43, 45, 46, 47, 48, 52, 54, 56, 57, 59, 60, 61, 62, 64, 66, 68, 71, 77, 80, 82, 84, 89]",131,particles_yeast_derived_plasma derived_recombinant,170,"history_press_references_figure_responses.325,326",1.0893477391329407
171,rabies_polio_rubella_encephalitis_virus,"[1, 3, 8, 17, 20, 37, 38, 42, 58, 67, 69, 72, 73, 74, 75, 76]",93,yellow fever_yellow_theiler_fever_french strain,168,rabies_polio_rubella_encephalitis_cell,1.0888068857199371
170,"history_press_references_figure_responses.325,326","[4, 6, 7, 14, 16, 29, 31, 33, 34, 40, 43, 45, 46, 47, 48, 52, 54, 56, 57, 59, 60, 61, 62, 64, 66, 68, 71, 77, 80, 84, 89]",96,adenovirus_respiratory_types adenovirus_types_respiratory disease,166,"history_press_references_figure_responses.325,326",1.0830022034700288
169,influenza_rotavirus_live_influenza vaccine_cold,"[2, 13, 22, 23, 24, 25, 36, 53, 86, 87]",152,influenza_influenza vaccine_adapted_cold adapted_cold,159,rotavirus_intussusception_oral_rotavirus vaccine_cholera,1.0816824745190166
168,rabies_polio_rubella_encephalitis_cell,"[1, 8, 17, 20, 37, 38, 42, 58, 69, 72, 73, 74, 75, 76]",151,polio_polio vaccine_report_tissues_sabin,165,rabies_rubella_encephalitis_measles_tick,1.0761134101393166
167,anthrax_pasteur_tuberculose_plague_r,"[5, 9, 12, 15, 19, 30, 32, 39, 41, 44, 83, 85]",160,pasteur_tuberculose_plague_r_acad,137,anthrax_20th_20th century_anthrax vaccine_half 20th,1.0711990062079875
166,"history_press_references_figure_responses.325,326","[4, 6, 7, 14, 16, 29, 31, 33, 34, 40, 45, 46, 47, 48, 52, 54, 57, 59, 60, 61, 62, 64, 66, 68, 71, 77, 80, 84, 89]",164,"history_press_references_proc_responses.325,326 proc",103,figure_age vaccination_vaccination figure_grand rapids_grand,1.0691545102261573
165,rabies_rubella_encephalitis_measles_tick,"[1, 8, 37, 38, 42, 58, 74, 75]",95,rabies_wiktor_rabies vaccine_rabies virus_diploid cell,161,rubella_encephalitis_measles_tick_tick borne,1.0672599573849222
164,"history_press_references_proc_responses.325,326 proc","[4, 6, 7, 14, 16, 29, 31, 33, 34, 40, 45, 46, 47, 48, 52, 54, 57, 59, 60, 61, 64, 66, 68, 71, 77, 80, 84]",162,"references_history_proc_responses.325,326 proc_responses.325,326",156,ehrlich_serum_theory_bacterins_behring,1.0585577216113637
163,meningococcal_pneumococcal_conjugate_group_meningococcal conjugate,"[18, 26, 28, 65, 70, 88, 90]",146,meningococcal_group_meningococcal conjugate_meningococcus_nity meningococcus,135,pneumococcal_transformation_avery macleod_macleod_mccarty,1.0537862452704494
162,"references_history_proc_responses.325,326 proc_responses.325,326","[4, 6, 14, 16, 29, 31, 34, 40, 45, 46, 47, 48, 57, 59, 60, 61, 64, 68, 71, 77, 84]",158,influenzae_immunological_vaccinology_proteins_genome,157,"references_responses.325,326_responses.325,326 proc_proc_pertussis",1.0517421239437166
161,rubella_encephalitis_measles_tick_tick borne,"[1, 8, 37, 38, 74, 75]",138,encephalitis_tick_tick borne_japanese_borne encephalitis,139,rubella_measles_attenuated measles_measles vaccine_declared,1.0494534698739009
160,pasteur_tuberculose_plague_r_acad,"[5, 12, 15, 19, 32, 41, 44, 83, 85]",127,r_r acad_acad_jena_abt,155,pasteur_tuberculose_plague_chicken_sheep,1.0488524860589015
159,rotavirus_intussusception_oral_rotavirus vaccine_cholera,"[2, 22, 23, 24]",98,oral_cholera_oral cholera_cholera vaccine_live oral,97,rotavirus_intussusception_rotavirus vaccine_human rotavirus_event reporting,1.0385992209243837
158,influenzae_immunological_vaccinology_proteins_genome,"[6, 40, 47, 48, 64, 68, 84]",153,influenzae_immunological_proteins_genome_capsular,115,sac_mountain_rocky mountain_mountain spotted_rocky,1.037219202409726
157,"references_responses.325,326_responses.325,326 proc_proc_pertussis","[4, 14, 16, 29, 31, 34, 45, 46, 57, 59, 60, 61, 71, 77]",118,pertussis_cough_whooping cough_whooping_pertussis vaccine,154,"references_proc_responses.325,326 proc_responses.325,326_natural history",1.0301599028204933
156,ehrlich_serum_theory_bacterins_behring,"[7, 33, 52, 54, 66, 80]",112,serum therapy_remarkable_therapy_ehrlich_behring,136,theory_bacterins_immunity_toxin_antitoxin,1.0278418157641733
155,pasteur_tuberculose_plague_chicken_sheep,"[12, 15, 32, 44, 83, 85]",117,plague_bubonique_haffkine_plague vaccine_bubonic plague,149,tuberculose_pasteur_chicken_sheep_toussaint,1.0248997912113598
154,"references_proc_responses.325,326 proc_responses.325,326_natural history","[14, 16, 29, 31, 34, 45, 46, 57, 60, 61, 71, 77]",143,natural history_history_hunters_oldstone_history lecture,150,"references_responses.325,326 proc_responses.325,326_proc_zoster",1.0245208362625484
153,influenzae_immunological_proteins_genome_capsular,"[6, 47, 48, 68, 84]",141,influenzae_immunological_capsular_giles_jama,116,genome_candidates_reverse_allows_identification,1.0237640980161904
152,influenza_influenza vaccine_adapted_cold adapted_cold,"[13, 25, 36, 53, 86, 87]",132,influenza_embryos_chick embryos_influenza virus_chick,111,adapted_cold adapted_cold_influenza vaccine_influenza,1.0158682486914627
151,polio_polio vaccine_report_tissues_sabin,"[17, 20, 69, 72, 73, 76]",124,public health_service_report_health_service technical,147,polio_polio vaccine_tissues_sabin_robbins,1.014826736818799
150,"references_responses.325,326 proc_responses.325,326_proc_zoster","[14, 16, 31, 34, 45, 71, 77]",133,references_biologicsbloodvaccines_biologicsbloodvaccines vaccines_available_available references,148,"responses.325,326 proc_responses.325,326_proc_zoster_powdered scabs",1.01457969176414
149,tuberculose_pasteur_chicken_sheep_toussaint,"[15, 32, 44, 83]",129,tuberculose_pasteur_reveal pasteur_reemphasized_reemphasized pasteur,108,chicken_sheep_toussaint_chicken cholera_anthrax,1.008053571354362
148,"responses.325,326 proc_responses.325,326_proc_zoster_powdered scabs","[14, 31, 45, 71, 77]",140,zoster_herpes_virus new_cl_genomes phyloge-,145,"proc_responses.325,326_responses.325,326 proc_powdered_scabs",1.0072104206888304
147,polio_polio vaccine_tissues_sabin_robbins,"[17, 69, 73, 76]",110,sabin_polio_polio vaccine_salk_placebo,109,tissues_cultures_cultures human_robbins_lansing,1.0028583239706255
146,meningococcal_group_meningococcal conjugate_meningococcus_nity meningococcus,"[28, 65, 70, 90]",120,meningococcus_nity meningococcus_group_immu- nity_immunity immu-,104,meningococcal_meningococcal conjugate_conjugate_conjugate vaccines_opin,1.0001719363784758
145,"proc_responses.325,326_responses.325,326 proc_powdered_scabs","[31, 45, 71]",144,"responses.325,326 proc_responses.325,326_proc__",71,powdered scabs_nose_powdered_scabs_cotton,1.0000000727994403
144,"responses.325,326 proc_responses.325,326_proc__","[31, 45]",31,"responses.325,326 proc_proc_responses.325,326__",45,____,1.0
143,natural history_history_hunters_oldstone_history lecture,"[29, 46, 57, 60, 61]",142,natural history_hunters_oldstone_history lecture_lecture,126,books_chinese_medicine_new light_light dawn,0.9995680108717723
142,natural history_hunters_oldstone_history lecture_lecture,"[46, 57, 61]",46,medical practice_denmark_practice_medical_denmark paper,130,natural history_hunters_oldstone_history lecture_lecture,0.9987135923345458
141,influenzae_immunological_capsular_giles_jama,"[6, 68, 84]",68,giles_jama_tics_jama giles_giles type,119,influenzae_capsular_bacterial_immunological_type b,0.990573343746938
140,zoster_herpes_virus new_cl_genomes phyloge-,"[14, 77]",14,zoster_herpes_shingles_herpes zoster_zoster vaccine,77,netic_analysis afonso_phyloge- netic_genomes phyloge-_horsepox,0.9878656862615737
139,rubella_measles_attenuated measles_measles vaccine_declared,"[37, 74, 75]",102,rubella_declared_eradication_rubella virus_declared eliminated,75,attenuated measles_measles_fl_measles general_vaccine child,0.9876430897905546
138,encephalitis_tick_tick borne_japanese_borne encephalitis,"[1, 8, 38]",106,encephalitis_tick_tick borne_japanese_borne encephalitis,38,provost_inactivated hepatitis_hepatitis_hepatitis vaccine_inactivated,0.9827723141011339
137,anthrax_20th_20th century_anthrax vaccine_half 20th,"[9, 30, 39]",99,anthrax_anthrax vaccine_bacillus_anthrax bacillus_human anthrax,39,20th_20th century_half 20th_half_early developments,0.9813311015216812
136,theory_bacterins_immunity_toxin_antitoxin,"[7, 33, 54, 66]",128,theory_toxin_antitoxin_immunity contagious_contagious diseases,54,bacterins_phagocytosis_opsonins_catalog_sold,0.9812433936542497
135,pneumococcal_transformation_avery macleod_macleod_mccarty,"[18, 26, 88]",101,pneumococcal_pneumococcal conjugate_conjugate_m._prevention pneumococcal,88,celebration avery_sary celebration_anniver- sary_genetics anniver-_transformation genetics,0.981222665536865
134,cowpox_smallpox_variolation_jenner_negri,"[0, 78, 79, 81]",79,story_vaccina-_jenner_vaccina- tion_story interesting,122,cowpox_smallpox_variolation_negri_lymph,0.9804442878228121
133,references_biologicsbloodvaccines_biologicsbloodvaccines vaccines_available_available references,"[16, 34]",16,references_chapter available_references chapter_available references_chapter,34,biologicsbloodvaccines_biologicsbloodvaccines vaccines_approval_bl_vaccines approvedproducts,0.9800117631312757
132,influenza_embryos_chick embryos_influenza virus_chick,"[13, 86, 87]",87,embryos_chick embryos_chick_adaptation passage_virus associated,121,influenza_burnet_magill_eggs_mutated,0.9795651563026333
131,particles_yeast_derived_plasma derived_recombinant,"[10, 11, 82]",100,derived_yeast_particles_plasma derived_plasma,10,self_hpv_like particles_vlps_cancer,0.9789437982192178
130,natural history_hunters_oldstone_history lecture_lecture,"[57, 61]",57,natural history_history lecture_lecture_natural_lecture natural,61,hunters_oldstone_oldstone hunters_virology oldstone_hunters history,0.9788272775707259
129,tuberculose_pasteur_reveal pasteur_reemphasized_reemphasized pasteur,"[44, 83]",44,tuberculose_et 3ème_3ème memoires_bacillaire_antituberculose,83,vacation end_returned reemphasized_deliberately introduced_pasteur deliberately_reveal pasteur,0.9781976839287159
128,theory_toxin_antitoxin_immunity contagious_contagious diseases,"[7, 33, 66]",33,contagious_immunity contagious_contagious diseases_killed vaccines_diseases,123,toxin_antitoxin_theory_tetanus_guinea pigs,0.9778951881478742
127,r_r acad_acad_jena_abt,"[5, 19, 41]",41,abt jena_jena_abt_1896;19:217_récit historique,113,r_neuse_neuse r_d’inoculations_acad zoeller,0.9777237537484388
126,books_chinese_medicine_new light_light dawn,"[29, 60]",60,chinese_medicine_vintage_buddhist_books hume,29,dawn_new light_light dawn_light_books,0.9732578816120393
125,typhoid_typhoid vaccines_field trial_field_ty21a,"[21, 50, 55]",94,typhoid vaccines_field trial_typhoid_field_ty21a,50,wright_typhoid_beginning_vaccination typhoid_killed typhoid,0.9693380451891366
