Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
90,vaccine_adjuvants_adjuvant_aluminum_vaccines,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]",88,vaccine_adjuvants_influenza_adjuvant_vaccines,89,aluminum_oil_emulsions_water_containing adjuvants,1.183300263475081
89,aluminum_oil_emulsions_water_containing adjuvants,"[3, 6, 8, 9, 10, 31, 36, 38, 39]",53,oil_emulsions_water_water emulsions_oil water,79,aluminum_containing adjuvants_surface_aluminum containing_freezing,1.1667245116431118
88,vaccine_adjuvants_influenza_adjuvant_vaccines,"[0, 1, 2, 4, 5, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 37, 40, 41, 42, 43, 44, 45]",56,influenza_influenza vaccine_adjuvanted_vaccine_mf59,87,vaccine_adjuvants_adjuvant_vaccines_cpg,1.1194419506781903
87,vaccine_adjuvants_adjuvant_vaccines_cpg,"[1, 2, 4, 5, 7, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 32, 33, 34, 35, 37, 40, 41, 42, 43, 44, 45]",86,adjuvants_vaccine_vaccines_cpg_adjuvant,85,toll_toll like_like_like receptor_receptor,1.1025587619370412
86,adjuvants_vaccine_vaccines_cpg_adjuvant,"[1, 2, 5, 7, 11, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 30, 32, 35, 37, 41, 42, 43, 44, 45]",84,cpg_med identifier_vaccine_identifier_safety,83,mucosal_adjuvant_lipid_mucosal adjuvants_virosomes,1.0535043430336588
85,toll_toll like_like_like receptor_receptor,"[4, 21, 33, 34, 40]",67,pathogen_factor_interferon_receptors_interleukin,48,toll_like receptor_toll like_like_receptor,1.0366358325459222
84,cpg_med identifier_vaccine_identifier_safety,"[7, 13, 14, 19, 20, 22, 23, 24, 25, 27, 30, 32, 35, 43, 44, 45]",82,references_evolution_evolution adjuvants_adjuvants centuries_centuries,81,cpg_med identifier_identifier_med_rts,1.036239725874563
83,mucosal_adjuvant_lipid_mucosal adjuvants_virosomes,"[1, 2, 5, 11, 12, 15, 16, 18, 26, 29, 37, 41, 42]",76,lipid_virosomes_adjuvant_molecule_liposomes,80,mucosal_mucosal adjuvants_populations_oral_adjuvants,1.035169533379681
82,references_evolution_evolution adjuvants_adjuvants centuries_centuries,"[19, 23, 24, 25, 27, 30, 32, 43, 44]",78,references_future_available references_chapter available_directions,75,adjuvants centuries_evolution_evolution adjuvants_centuries_adjuvants,1.0194287849618777
81,cpg_med identifier_identifier_med_rts,"[7, 13, 14, 20, 22, 35, 45]",77,cpg_med identifier_identifier_med_extensive clinical,55,rts_malaria_rts s_s_alhydrogel cpg,1.0193254388717798
80,mucosal_mucosal adjuvants_populations_oral_adjuvants,"[1, 11, 16, 42]",60,mucosal adjuvants_mucosal_nontoxic derivatives_vaccines nontoxic_ct mucosal,52,populations_immune response_response_protection_live,1.0166004473035941
79,aluminum_containing adjuvants_surface_aluminum containing_freezing,"[6, 8, 10, 36, 38, 39]",62,aluminum_containing adjuvants_freezing_aluminum containing_containing,51,surface_electrostatic_adsorption_aluminum hydroxide_hydroxide,1.014168996313703
78,references_future_available references_chapter available_directions,"[19, 23, 24, 30]",68,references_future_acknowledgment_acknowledgment references_directions acknowledgment,64,narcolepsy_risk_mmf_positive_committee,1.0119572051131533
77,cpg_med identifier_identifier_med_extensive clinical,"[7, 13, 20, 22, 45]",73,med identifier_identifier_med_extensive clinical_hpv,58,cpg_seroprotection_sequence_cpg motifs_motifs,1.0084881629793725
