Document,Topic,Auto_Label,Descriptive_Label,Probability
General Immunization Practices,21,Immunization,Immunization – Vaccinations,0.3078466955748581
"Andrew T. Kroger, William L. Atkinson, and Larry K. Pickering",34,Schedule,Schedule,0.11577149751277259
"Recommendations for immunization practices are based on scientific knowledge of vaccine characteristics, biology of immunization, epidemiology of specific diseases, and host characteristics. In addition, experience and judgment of public health officials and specialists in clinical and preventive medi- cine play a key role in developing recommendations that maximize benefits and minimize risks and costs associated with immunization. General guidelines for immunization practices are based on evidence and expert opinion of benefits and risks of vaccinations as they apply to the current epidemi- ology of disease and use of vaccines in the United States. However, many of the principles are universal and are appli- cable to other countries where different public health infra- structures may exist.",21,Immunization,Immunization – Vaccinations,0.4317175442766197
VACCINE STORAGE AND HANDLING,0,Vaccines,Vaccines – Shipping,1.0
"Vaccines must be properly shipped, stored, and handled to avoid loss of their biologic activities. Recommended storage and handling requirements for each vaccine are given in each manufacturer’s product information.1 Correct shipping, storage, and handling practices also are published in recom- mendations of the major vaccine policymaking committees, such as the Advisory Committee on Immunization Practices (ACIP) of the Centers for Disease Control and Prevention (CDC), the Committee on Infectious Diseases of the American Academy of Pediatrics (AAP), and the World Health Organiza- tion (see Chapter 76).2–5 Failure to adhere to these require- ments can result in loss of vaccine potency, leading to an inadequate immune response in the vaccinee. Visible evidence of altered vaccine integrity may not be present. The state/local health department or the manufacturer should be contacted when questions arise about the correct handling of a vaccine. New vaccines or new formulations of an existing vaccine may have different shipping, storage, and handling requirements. The recommended storage practices for the most commonly used vaccines in the United States are described in the Vaccine Storage and Handling Toolkit.6",0,Vaccines,Vaccines – Shipping,1.0
Refrigerators without freezers and standalone freezers are,24,Vaccine,Vaccine – Freezers,1.0
"usually most effective at maintaining the precise temperatures required for vaccine storage and are preferred to combination refrigerator/freezer units. Freezer storage units may be manual defrost or automatic defrost (“frost-free”). Automatic defrost freezers periodically and transiently increase the freezer tem- perature to reduce the formation of ice. This type of freezer unit is acceptable for storage of vaccines that must be stored in a frozen state (varicella, measles-mumps-rubella-varicella [MMRV], oral polio, zoster).",24,Vaccine,Vaccine – Freezers,0.959632450564096
"Exposure to higher or lower temperatures than recom- mended can damage a vaccine. For example, live virus vac- cines, such as oral poliovirus vaccine (OPV), varicella, combination MMRV, and zoster vaccine, are sensitive to tem- peratures above freezing and should be kept frozen until just before administration. Measles-mumps-rubella (MMR without varicella) vaccine may be stored at either refrigerator or freezer temperature. Rotavirus vaccine and yellow fever vaccine should be stored at refrigerator temperature (2–8°C).3,7 Some vac- cines composed of purified antigens or inactivated microor- ganisms, such as hepatitis A, hepatitis B, Haemophilus influenzae",24,Vaccine,Vaccine – Freezers,0.6066257198091183
96,70,96,96,1.0
"type b (Hib), human papillomavirus (HPV), and inactivated influenza, can lose their potency if frozen and should be kept at refrigerator temperature and never frozen.3,4 Diluents should not be frozen and may be kept at room or refrigerator tem- perature. Maintenance of a “cold chain” from vaccine produc- tion to use helps ensure vaccine potency at the time of administration. Temperature monitoring and control are important for storage and handling of all vaccines, particularly during transport and field use. Temperatures should be moni- tored at least twice a day, using a thermometer that records current, maximum, and minimum temperatures. Whereas maintenance of cold and freezing temperatures may be a problem in tropical climates, data suggest that inappropriate freezing of inactivated vaccines is a problem in maintaining vaccine stability in cold and temperate climates. Shipping con- tainers should be sturdy, the correct size for the amount of vaccine to be shipped, and contain a temperature monitor. Appropriate insulation (e.g., panels and boxes of polystyrene, isocyanurate, or polyurethane) and cold source (e.g., bottles with frozen liquid) should be used to maintain the recom- mended temperature. Dry ice should not be used to transport frozen vaccine, because it might expose the vaccine to tem- peratures lower than recommended for storage. Loose fillers do not provide reliable temperature insulation.3",24,Vaccine,Vaccine – Freezers,1.0
