Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
150,cells_vaccine_t_responses_cell,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75]",148,vaccine_responses_vaccines_pertussis_antibody,149,cells_memory_b_t_b cells,1.2783131883148569
149,cells_memory_b_t_b cells,"[3, 6, 8, 9, 11, 18, 20, 27, 29, 31, 35, 40, 41, 42, 47, 48, 50, 52, 53, 54, 56, 57, 59, 63, 64, 66, 69, 70, 72, 74]",147,t_cells_memory t_helper_t cells,144,b_plasma_b cells_memory b_plasma cells,1.1887747078159456
148,vaccine_responses_vaccines_pertussis_antibody,"[0, 1, 2, 4, 5, 7, 10, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 28, 30, 32, 33, 34, 36, 37, 38, 39, 43, 44, 45, 46, 49, 51, 55, 58, 60, 61, 62, 65, 67, 68, 71, 73, 75]",140,pertussis_acellular_acellular pertussis_maternal_infant,145,vaccine_vaccines_effects_responses_vaccination,1.1793616730026075
147,t_cells_memory t_helper_t cells,"[6, 8, 9, 18, 20, 27, 31, 47, 48, 50, 53, 54, 56]",76,helper_helper lymphocytes_t helper_lymphocytes_lymphocytes t,146,memory t_cells_molecules_t cells_t,1.1185805739287134
146,memory t_cells_molecules_t cells_t,"[6, 9, 18, 20, 27, 31, 47, 50, 53, 54, 56]",88,memory t_memory_t cells_resident_resident memory,137,molecules_activation_surface_cells_adjuvants,1.104110601811717
145,vaccine_vaccines_effects_responses_vaccination,"[0, 1, 2, 4, 5, 7, 13, 15, 16, 17, 19, 21, 22, 24, 25, 28, 30, 32, 33, 34, 36, 38, 39, 43, 44, 45, 46, 49, 60, 61, 62, 65, 67, 71, 73, 75]",142,measles_effects_infect_vaccine_infants,143,influenza_cell_vaccines_t_med,1.0973505324587718
144,b_plasma_b cells_memory b_plasma cells,"[3, 11, 29, 35, 40, 41, 42, 52, 57, 59, 63, 64, 66, 69, 70, 72, 74]",136,memory b_plasma_memory_plasma cells_b cells,138,germinal_b_center reaction_spleen nodes_b cells,1.0935036380989993
143,influenza_cell_vaccines_t_med,"[4, 5, 15, 17, 21, 24, 25, 28, 30, 32, 33, 34, 43, 45, 46, 49, 60, 61, 62, 67, 75]",128,influenza_elderly_med_healthy_older adults,141,regulatory t_cell_vaccines_regulatory_t,1.0797225569658213
142,measles_effects_infect_vaccine_infants,"[0, 1, 2, 7, 13, 16, 19, 22, 36, 38, 39, 44, 65, 71, 73]",134,measles_effects_bcg_measles vaccine_nonspecific,139,infect_pneumococcal_2014;28(4):615 s120_infect 2014;28(4):615_s120,1.0737573105668898
141,regulatory t_cell_vaccines_regulatory_t,"[4, 5, 15, 21, 24, 28, 30, 32, 33, 43, 46, 49, 60, 61, 67, 75]",135,systems_dendritic_dendritic cell_cell_vaccines,109,regulatory t_regulatory_tregs_effector_functional,1.0589375909576686
