Document,Topic,Auto_Label,Descriptive_Label,Probability
The Vaccine Industry,2,Vaccines,Vaccines – Reliability,0.9620277982811228
R. Gordon Douglas and Vijay B. Samant,7,Biotechnology,Biotechnology,1.0
"The vaccine industry is composed of companies that are engaged in any of the following activities: research (including that performed in industry and biotech), development, manu- facture, or sales, marketing, and distribution of vaccines. They receive their revenue chiefly from sales of vaccine products or expectations thereof. The vaccine industry is relatively small, compared to the pharmaceutical industry, but growing. We estimate that total infectious disease vaccine sales in 2013 were more than $25 billion worldwide and expected to grow to about $35 billion by 2020. Although components of the vaccine industry are found in 50 countries worldwide, the large vaccine companies are primarily U.S.- or European-based and have the dominant share of vaccine business on a revenue basis; but regional companies are gradually growing their market share on a dose basis (Table 4.1).1",10,Expenses,Expenses,0.7688396737881413
"In the past 20 years, the vaccine business, a former laggard",2,Vaccines,Vaccines – Reliability,1.0
"in the pharmaceutical business, has shown remarkable growth powered by new innovative vaccines coupled with superior pricing strategies (Fig. 4.1).2 Specifically contributing to this spectacular growth were the varicella, hepatitis A, pneumococ- cal conjugate, shingles, rotavirus, meningococcal conjugate for A, C, Y, W, and human papillomavirus (HPV) vaccines, as well as myriad combination vaccines.",-1,Noise / Outlier,Noise / Outlier,0.0
This projected growth may plateau in the early 2020s unless the vaccine industry continues to introduce new inno- vative products targeting diseases that impact the Western world. Sustaining this growth will be a challenge because of dwindling numbers of high-value vaccine targets for which the biology of protection is well understood (see Table 4.7).,-1,Noise / Outlier,Noise / Outlier,0.0
"The vaccine business is a capital-intensive business that requires considerable ongoing investment in manufacturing assets, facilities, and people to maintain compliance with ever- increasing regulatory directives. The recent departure of Baxter and Novartis from the vaccine industry is an ominous sign that reflects the continued financial pressure on the remaining four major vaccine makers. Further consolidation of this busi- ness is likely. In addition, new alliances will be formed between the big four manufacturers and emerging companies in India, China, and Brazil, to take advantage of increasing immunization rates in those countries as well as growth of their private markets.",3,Biotech,Biotech,1.0
"The United States has been extraordinarily successful in vaccine research and development (R&D).3,4 In the past 20 years, most new vaccines approved worldwide were developed in the United States. Approximately 15 new vaccines were approved in the United States between 1995 and 2014.5,6 Since then, combinations of existing vaccines have been introduced for simplified pediatric vaccination resulting in a wider adop- tion of acellular pertussis vaccination. A polyvalent pneumo- coccal conjugate vaccine for infants introduced by Wyeth (now a subsidiary of Pfizer) has been widely adopted and has made Pfizer a major force in the vaccine business. Since 2006, several new vaccines have been licensed, including a combination of measles, mumps, and rubella (MMR) and varicella, as well as new vaccines against rotavirus, herpes zoster, HPV, meningo- coccus, influenza, and others. The HPV vaccines developed by Merck and GlaxoSmithKline significantly expanded the field of adolescent vaccines and confirmed market acceptance of premium pricing.",23,Vaccines,Vaccines – Developed,1.0
"In the last 10 years, the vaccine industry in the United States and Europe has considerably improved its reliability as a sup- plier. Chronic shortages are a thing of the past; this turn- around has primarily been achieved by modernization of vaccine manufacturing and distribution infrastructure sup- ported and funded by the profitability of the vaccine business. The Centers for Disease Control and Prevention (CDC) stock- piling of pediatric vaccines has alleviated some concerns of critical shortages in case of supply interruptions. But the industry’s vulnerability because of dependence on single- sourced vaccines continues to be an unresolved concern. The regulators and the industry must proactively develop a solu- tion to this critical challenge and avoid any future public health crisis resulting from vaccine shortages during a pro- longed supply interruption.",2,Vaccines,Vaccines – Reliability,0.799535554809121
VACCINE DEVELOPMENT,14,Vaccine,Vaccine – Gregerson,1.0
"Vaccine development is difficult, complex, highly risky, and costly, and includes clinical development, process develop- ment, and assay development. The risk is high because most vaccine candidates fail in preclinical or early clinical develop- ment and less than 1 in 15 vaccine candidates entering Phase II achieves licensure. The high failure rate is the result of a variety of reasons:",25,Immunization,Immunization,1.0
Not fully understanding the biology of protection.,-1,Noise / Outlier,Noise / Outlier,0.0
Lack of good animal models to predict vaccine behavior in humans.,14,Vaccine,Vaccine – Gregerson,1.0
Unpredictability of human immune system reactions to antigens as it relates to immunogenicity or safety.,-1,Noise / Outlier,Noise / Outlier,0.0
The unpredictability of the impact of combining multiple components in a vaccine.,-1,Noise / Outlier,Noise / Outlier,0.0
"Vaccine development requires strong project management systems and controls and requisite skill sets among scientists and engineers. A key strategic document that guides the stake- holders in vaccine development is the “target product profile” (TPP). The TPP summarizes the desired characteristics and features of the product under development, the key attributes of the product that provide competitive advantage, and, finally, a topline roadmap of nonclinical and clinical studies required to evaluate the products efficacy and safety in the target popu- lation. A well-defined TPP provides all the stakeholders, including research, process development, manufacturing, clin- ical, regulatory, and senior management, with a clear state- ment of the desired outcome of the product development program.",0,Vaccine,Vaccine – Tpp,0.9535170698429509
"Process development involves making preparations of the test vaccine that satisfy regulatory requirements for clinical testing including clinical lots, preclinical toxicology testing, and analytical assessment, and finally, scale-up methods that lead to a consistent manufacturing process at one-tenth of full scale. Usually three consecutive lots are tested in the clinic for immunogenicity. Assay development involves the definition of specific methods to test the purity of raw materials, stability and potency of the vaccine product, and immunologic and other criteria to predict vaccine efficacy. Go/no-go decisions must be made at each stage of clinical and process development and",0,Vaccine,Vaccine – Tpp,1.0
41,9,Sales,Sales,0.5675312106785453
